epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3748.42,0.78681,0.53575,1.01294,0.69556,0.63682,0.66855,0.39854,1.46421,1.32442,1.61954,0.0005406,0.0005406,0.0005406
126,3777.98,0.78951,0.54603,1.01942,0.66851,0.68266,0.65866,0.40492,1.45434,1.28941,1.63777,0.00053125,0.00053125,0.00053125
127,3808.45,0.78151,0.52491,1.0007,0.62004,0.72912,0.66762,0.40236,1.4864,1.34772,1.66152,0.0005219,0.0005219,0.0005219
128,3838.31,0.77482,0.51699,1.00604,0.65029,0.70693,0.66881,0.41177,1.46135,1.39295,1.63813,0.00051255,0.00051255,0.00051255
129,3868.59,0.80212,0.51461,1.01772,0.65971,0.70049,0.6635,0.40834,1.44898,1.30131,1.64076,0.0005032,0.0005032,0.0005032
130,3899.05,0.78686,0.51375,1.00792,0.70613,0.67016,0.68462,0.41364,1.47553,1.28352,1.63853,0.00049385,0.00049385,0.00049385
131,3928.61,0.75671,0.50011,0.99341,0.6573,0.71796,0.65788,0.40353,1.47196,1.43978,1.61559,0.0004845,0.0004845,0.0004845
132,3958.11,0.73411,0.50599,0.98939,0.66603,0.688,0.65758,0.39981,1.46321,1.32458,1.65375,0.00047515,0.00047515,0.00047515
133,3989.22,0.77794,0.50612,1.00609,0.66911,0.70802,0.6745,0.40048,1.47559,1.31821,1.66876,0.0004658,0.0004658,0.0004658
134,4018.67,0.77178,0.49755,1.01069,0.65903,0.73495,0.67221,0.39458,1.51475,1.24076,1.68022,0.00045645,0.00045645,0.00045645
135,4048.92,0.76155,0.50381,0.99625,0.64301,0.69521,0.66091,0.3944,1.48916,1.33632,1.6653,0.0004471,0.0004471,0.0004471
136,4079.05,0.7439,0.49654,0.99835,0.68881,0.68752,0.67642,0.40512,1.49083,1.38564,1.67361,0.00043775,0.00043775,0.00043775
137,4108.94,0.73581,0.49631,0.99167,0.64954,0.6962,0.65919,0.39839,1.4726,1.30854,1.67642,0.0004284,0.0004284,0.0004284
138,4138.67,0.75351,0.49433,0.99966,0.6909,0.63976,0.64653,0.38757,1.49347,1.32303,1.68018,0.00041905,0.00041905,0.00041905
139,4168.81,0.73144,0.49066,0.99504,0.65801,0.65103,0.64964,0.38896,1.49171,1.38254,1.67064,0.0004097,0.0004097,0.0004097
140,4199.12,0.73298,0.49025,0.98393,0.66045,0.68964,0.65602,0.40052,1.48852,1.3862,1.64215,0.00040035,0.00040035,0.00040035
141,4229.09,0.74013,0.49735,0.98671,0.71984,0.65029,0.66767,0.40114,1.49383,1.3878,1.67376,0.000391,0.000391,0.000391
142,4259.11,0.7471,0.50539,0.99159,0.64142,0.69848,0.67299,0.41034,1.48592,1.34607,1.66147,0.00038165,0.00038165,0.00038165
143,4289.7,0.73585,0.49414,0.99149,0.63871,0.70851,0.65003,0.39292,1.47482,1.41337,1.65634,0.0003723,0.0003723,0.0003723
144,4319.05,0.72405,0.48218,0.98196,0.69482,0.67273,0.66366,0.39855,1.49702,1.40343,1.69119,0.00036295,0.00036295,0.00036295
145,4348.08,0.70813,0.46818,0.9851,0.64471,0.66069,0.63994,0.38923,1.4756,1.45554,1.66385,0.0003536,0.0003536,0.0003536
146,4378.22,0.71873,0.47523,0.97557,0.68928,0.64611,0.64368,0.37754,1.5118,1.45443,1.70633,0.00034425,0.00034425,0.00034425
147,4407.63,0.71409,0.45256,0.97397,0.69265,0.69295,0.66466,0.39714,1.49905,1.3121,1.71678,0.0003349,0.0003349,0.0003349
148,4437.17,0.70404,0.48309,0.97296,0.67696,0.68249,0.6524,0.38665,1.51094,1.35427,1.73445,0.00032555,0.00032555,0.00032555
149,4466.88,0.69902,0.46787,0.96823,0.67434,0.68469,0.66954,0.40223,1.49044,1.36453,1.70939,0.0003162,0.0003162,0.0003162
150,4497.67,0.70631,0.47325,0.97724,0.71324,0.67102,0.66168,0.40382,1.49159,1.39362,1.69344,0.00030685,0.00030685,0.00030685
151,4527.79,0.71133,0.45891,0.97858,0.71144,0.67861,0.656,0.4017,1.48086,1.30273,1.66971,0.0002975,0.0002975,0.0002975
152,4557.83,0.70339,0.46477,0.9767,0.63491,0.68839,0.64312,0.39553,1.46463,1.36746,1.66768,0.00028815,0.00028815,0.00028815
153,4588.82,0.70809,0.47119,0.97019,0.64605,0.70179,0.64532,0.39223,1.48113,1.36831,1.67239,0.0002788,0.0002788,0.0002788
154,4618.29,0.68291,0.45745,0.97158,0.65879,0.70288,0.65857,0.39643,1.48558,1.36393,1.68681,0.00026945,0.00026945,0.00026945
155,4647.82,0.6624,0.44066,0.96274,0.65072,0.67653,0.63866,0.39198,1.45481,1.44853,1.66157,0.0002601,0.0002601,0.0002601
